આફ્રિકા	Afrique
પર્યાવરણીય ઇજનેરી	Génie écologique
બ્રાન્ડી	Brandy (alcool)
ઘાબાજરીયુ	Massette à feuilles étroites
ગુરદાસપુર જિલ્લો	District de Gurdaspur
હાઉ આઇ મેટ યોર મધર	How I Met Your Mother
હોર્નેડ ગુઆન	Oréophase cornu
કાજોલ	Kajol
સુબ્રમણ્યન ચંદ્રશેખર	Subrahmanyan Chandrasekhar
કબડ્ડી	Kabaddi
પેટ બ્યુકેનન	Pat Buchanan
જિલ્લો	District
ચોલ સામ્રાજ્ય	Dynastie Chola
પાન્ડુ શામા	Monticole merle-bleu
ટાટા નેનો	Tata Nano
લાઇફ ઓફ પાઇ	L'Odyssée de Pi
ઇમરાન ખાન	Imran Khan
ઉઝી	Uzi
કરેણ	Laurier-rose
દિવેલી	Ricin commun
એમ.પી.૫	HK MP5
આઝાદ હિંદ ફોજ	Armée nationale indienne
રજકો	Luzerne cultivée
પેન્શન	Épargne retraite
એકેએસ-૭૪યુ	AK-74
લતા મંગેશકર	Lata Mangeshkar
ડૉ. સર્વપલ્લી રાધાકૃષ્ણન	Sarvepalli Radhakrishnan
માંકડું	Macaque rhésus
મોહમ્મદ રફી	Mohammed Rafi
કફોત્પાદક ગ્રંથિ	Hypophyse
ઇંગ્લીશ વીલો	Salix alba
સાગ	Teck
યુનિલિવર	Unilever
ચાર્લ્સ લુસિઅન બોનાપાર્ટ	Charles Lucien Bonaparte
રૂખડો (વનસ્પતિ)	Adansonia
ડેઝા વુ	Déjà-vu
આયેશા ટાકિયા	Ayesha Takia
ગ્વાલિયર	Gwalior
પ્રિયંકા ચોપરા	Priyanka Chopra
વિદ્યા બાલન	Vidya Balan
નરગીસ	Nargis (actrice)
દીપિકા પદુકોણે	Deepika Padukone
ડચ ઇસ્ટ ઇંડિયા કંપની	Compagnie néerlandaise des Indes orientales
સિંહ રાશી	Lion (astrologie)
કેમરૂનનો રાષ્ટ્રધ્વજ	Drapeau du Cameroun
સંયુક્ત રાષ્ટ્રસંઘના સભ્ય દેશોની યાદી	Liste des États membres de l'Organisation des Nations unies
બોલપેન	Stylo à bille
રામ	Rāma
કોલમ્બિયાનો રાષ્ટ્રધ્વજ	Drapeau de la Colombie
મહમદ અલી ઝીણા	Muhammad Ali Jinnah
ફુદીનો	Menthe des champs
લંડન આઇ (વિરાટ ચકડોળ)	London Eye
ઘાનાનો રાષ્ટ્રધ્વજ	Drapeau du Ghana
ચિત્તભ્રમણા	Syndrome confusionnel
ચીલીનો રાષ્ટ્રધ્વજ	Drapeau du Chili
પેચીયું (સ્ક્રૂ ડ્રાઇવર)	Tournevis
શહેરીકરણ	Urbanisation
ગરમાળો (વૃક્ષ)	Cassia fistula
ઝરેર (વનસ્પતિ)	Mélilot officinal
ક્રમચય	Permutation
કર્ક રાશી	Cancer (astrologie)
અલ્પ વિરામ	Virgule
શિવલીંગી (વનસ્પતિ)	Couroupita guianensis
ઇથોપિયાનો રાષ્ટ્રધ્વજ	Drapeau de l'Éthiopie
કુંભ રાશી	Verseau (astrologie)
સ્વચ્છતા	Hygiène
સ્ટેથોસ્કોપ	Stéthoscope
અલ્હાબાદ	Allahabad
ધિરાણનું જોખમ	Risque de crédit
કમ્બોડીયાનો રાષ્ટ્રધ્વજ	Drapeau du Cambodge
ક્યુબાનો રાષ્ટ્રધ્વજ	Drapeau de Cuba
સોનિયા ગાંધી	Sonia Gandhi
કોંગોનું ગણતંત્રનો રાષ્ટ્રધ્વજ	Drapeau de la République du Congo
થ્રિસુર	Thrissur
વોલ્વો	Volvo
સિલિકૉન વૅલી	Silicon Valley
કરિયાતું	Swertia
અમીરાત સ્ટેડિયમ	Emirates Stadium
વૃષભ રાશી	Taureau (astrologie)
મકર રાશી	Capricorne (astrologie)
કોંગોનું લોકતંત્રીય ગણતંત્રનો રાષ્ટ્રધ્વજ	Drapeau de la République démocratique du Congo
મરચું	Piment
પીરોજ	Turquoise (pierre)
ચિત્રદુર્ગ જિલ્લો	District de Chitradurga
કોળું	Citrouille
કાર્બ્યુરેટર	Carburateur
ગિનિનો રાષ્ટ્રધ્વજ	Drapeau de la Guinée
ઈક્વેડોરનો રાષ્ટ્રધ્વજ	Drapeau de l'Équateur
એડોબ ફ્લેશ	Adobe Flash
મધ્ય આફ્રીકી ગણતંત્રનો રાષ્ટ્રધ્વજ	Drapeau de la République centrafricaine
ચૅડનો રાષ્ટ્રધ્વજ	Drapeau du Tchad
પોલેંડ રાષ્ટ્રીય ફૂટબોલ ટીમ	Équipe de Pologne de football
સાત ઘોર પાપ (ખ્રિસ્તી ધર્મ)	Péché capital
ઉદ્‌ગારચિહ્ન	Point d'exclamation
કોર્પોરેશન	Corporation
રામલીલા	Ramlila
મધ્યમા	Majeur (anatomie)
ગ્રીનહાઉસ વાયુ	Gaz à effet de serre
તિરુવનંતપુરમ્	Thiruvananthapuram
ભૂસ્ખલન	Glissement de terrain
બાષ્પોત્સર્જન	Transpiration végétale
તાઈ ચી ચુઆન	Tai-chi-chuan
માયોપીઆ	Myopie
કોમોરોસનો રાષ્ટ્રધ્વજ	Drapeau des Comores
જામીનગીરીઓ	Valeur mobilière
વનનાબૂદી	Déforestation
કેટ હડસન	Kate Hudson
દાર્જિલિંગ	Darjeeling (ville)
શ્રીનગર	Srinagar
યાટ	Yacht
ભાગીરથી	Bhagirathi
કોસ્ટારિકાનો રાષ્ટ્રધ્વજ	Drapeau du Costa Rica
તાલ	Rythme
ફિલિપ્સ	Philips
વિશ્વ આર્થિક મંચ	Forum économique mondial
સ્ક્રેબલ	Scrabble
અગરતલા	Agartala
લીમડો	Margousier
પાર્વતી	Pārvatī
ફેંગ શુઇ	Feng shui
ઈક્વેટોરીયલ ગીનીનો રાષ્ટ્રધ્વજ	Drapeau de la Guinée équatoriale
એરિટ્રિયાનો રાષ્ટ્રધ્વજ	Drapeau de l'Érythrée
લસિકા ગાંઠ	Ganglion lymphatique
ગયાનાનો રાષ્ટ્રધ્વજ	Drapeau du Guyana
સ્ટેમ્ફોર્ડ બ્રિજ (સ્ટેડિયમ)	Stamford Bridge (stade)
દાનીયેલ	Daniel (prophète)
ભુવનેશ્વર	Bhubaneswar
બ્લેકબેરી	BlackBerry
આગ્રાનો કિલ્લો	Fort d'Agra
સિંહાકૃતિ	Emblème de l'Inde
ફ્રેન્ચાઇઝીંગ	Franchise (réseau commercial)
પૂર્ણ વિરામ	Point (signe)
કપૂરથલા જિલ્લો	District de Kapurthala
ફિરોઝપુર જિલ્લો	District de Firozpur
માનસા જિલ્લો	District de Mansa (Penjab)
પટિયાલા જિલ્લો	District de Patiala
લુધિયાણા જિલ્લો	District de Ludhiana
ફતેહગઢ સાહિબ જિલ્લો	District de Fatehgarh Sahib
ભટિન્ડા જિલ્લો	District de Bathinda
ફરીદકોટ જિલ્લો	District de Faridkot
વળગાડ મુક્તિ	Exorcisme
સાડી	Sari (vêtement)
કટિહાર	Katihar
કૃષિવિજ્ઞાન	Agronomie
ઘોરખોદિયું	Ratel
સ્વામી સચ્ચિદાનંદ	Swami Satchidananda
સિસ્કો	Cisco Systems
મિસ વર્લ્ડ	Miss Monde
માર્વલ કૉમિક્સ	Marvel Comics
સુવર્ણ માનક	Étalon-or
ખાદ્ય પદાર્થની સાચવણી	Conservation des aliments
અલ સાલ્વાડોરનો રાષ્ટ્રધ્વજ	Drapeau du Salvador
યરૂશાલેમના હિબ્રુ યુનિવર્સિટી	Université hébraïque de Jérusalem
સિવિલ એવિએશન રાષ્ટ્રીય શાળા	École nationale de l'aviation civile
રાંચી	Ranchi
કૌંસ	Parenthèse
એગોરાફોબિયા	Agoraphobie
મણિરત્નમ	Mani Ratnam
વિકિપીડિયા:અવરોધન નીતિ	Wikipédia:Blocage en écriture
વિલા પાર્ક	Villa Park
એચએએલ તેજસ	HAL Tejas
હિન્દુ-અરેબીક અંકો	Chiffres arabes
ઊંઘને લગતી બીમારી (સ્લીપ ડિસઓર્ડર)	Trouble du sommeil
મંગળના ચંદ્રો	Satellites naturels de Mars
સરસ્વતી નદી	Sarasvati (fleuve)
મહાવિરામ	Deux-points
પાતાળ કૂવા	Puits artésien
ફુલરિન (Fullerene)	Fullerène
ગ્વાટેમાલાનો રાષ્ટ્રધ્વજ	Drapeau du Guatemala
નિંદામણનાશક	Herbicide
તર્ક	Raison
સોનેરી પીઠવાળું લક્કડખોદ	Pic du Bengale
કબજિયાત	Constipation
અહિંસા	Ahimsa
ગૂચી	Gucci
મનુ	Manu (védisme)
કાંડા ઘડિયાળ	Montre (horlogerie)
રૂપિયો	Roupie
રોજા	Saoum
ખજુરાહો	Khajurâho
ઍલ્કેમિસ્ટ	L'Alchimiste
ફતેહપૂર સિક્રી	Fatehpur-Sikri
ડોમિનિકાનો રાષ્ટ્રધ્વજ	Drapeau de la Dominique
ખાવાનો સોડા	Bicarbonate de sodium
શિયાળુ મોટી ડુબકી	Grèbe jougris
રૂપેરી પેણ	Pélican à bec tacheté
વાદળ ફાટવું	Pluie torrentielle sous orage
કચરાનો પ્રબંધ	Gestion des déchets
સુવર્ણ મંદિર, અમૃતસર	Temple d'Or
યુઇએફએ યૂરો ૨૦૧૨ નામાંકન	Éliminatoires du championnat d'Europe de football 2012
આયર્ન મૅન	Iron Man (comics)
એના નિકોલ સ્મિથ	Anna Nicole Smith
ચક્ર	Chakra
મેલાટોનિન	Mélatonine
એપોલો ૧૭	Apollo 17
તમાકુ	Nicotiana tabacum
સાંચીનો સ્તુપ	Sanchi
કપૂર	Camphre
વિદેશ નીતિ	Politique étrangère
રાણી લક્ષ્મીબાઈ	Lakshmî Bâî
મેટ્રોપોલિટન એરિયા નેટવર્ક	Réseau métropolitain
ફીજીનો રાષ્ટ્રધ્વજ	Drapeau des Fidji
રેકી	Reiki
રામકૃષ્ણ પરમહંસ	Râmakrishna
પાણીનું પ્રદૂષણ	Pollution de l'eau
ઓઝોન અવક્ષય	Destruction de la couche d'ozone
એનટીએફએસ	New Technology File System
વિગતવાર વિજ્ઞાન પોલીટેકનિક ઇન્સ્ટિટ્યુટ	Institut polytechnique des sciences avancées
મોહરમ	Achoura
મોક્ષ	Moksha
કો-ઍક્સિયલ કેબલ	Câble coaxial
હલવો	Halva
મેમરી કાર્ડ	Carte mémoire
વિશ્વ જળ દિન	Journée mondiale de l'eau
ૐ	Om̐
લાલી (લિપસ્ટીક)	Rouge à lèvres
સૌથી તેજસ્વી તારાઓ	Liste des étoiles les plus brillantes
ડોમિનિકન ગણતંત્રનો રાષ્ટ્રધ્વજ	Drapeau de la République dominicaine
પેજ રેન્ક	PageRank
ગૉડફ્રે હારૉલ્ડ હાર્ડિ	Godfrey Harold Hardy
અજંતાની ગુફાઓ	Ajantâ
રૂઢિપ્રયોગ	Idiotisme
તર્જની	Index (anatomie)
કરીના કપૂર	Kareena Kapoor
સિકલસેલ એનીમિયા રોગ	Drépanocytose
બ્રાહ્મી લિપિ	Brahmi
પ્રારંભિક જાહેર ભરણું (આઈપીઓ)	Introduction en bourse
શિયાળુ નાની ડુબકી	Grèbe à cou noir
શ્રેણી:મેના-કાબર કુટુંબ	Sturnidae
ટર્બોચાર્જર	Turbocompresseur
કાંડુ (શરીર)	Poignet
અર્જુન	Arjuna
વૈશ્ય	Vaishya
ફિઝિયોથેરાપી	Physiothérapie
અયોધ્યા	Ayodhya
ગંગટોક	Gangtok
ધર્મશાલા	Dharamsala
મેડમ તુસાદ સંગ્રહાલય	Madame Tussauds
વ્હાઈટ હાર્ટ લેન	White Hart Lane
અણુ અપ્રસાર સંધિ	Traité sur la non-prolifération des armes nucléaires
દાહોદ જિલ્લો	District de Dahod
અભિષેક બચ્ચન	Abhishek Bachchan
વિકીમેપિયા	WikiMapia
કુતુબ મિનાર	Qûtb Minâr
વિગ્રહરેખા	Tiret
મોનોરેલ	Monorail
એબીઓ રક્તસમુહ પ્રણાલી	Système ABO
પોલિએસ્ટર	Polyester
સાંબાર	Sambar (cuisine)
કુદરતી સંપત્તિ	Ressource naturelle
હનુમાન	Hanoumân
ઝરખ	Hyène rayée
પ્રીટિ ઝિન્ટા	Preity Zinta
સહી (હસ્તાક્ષર)	Signature
ખેતર	Champ (agriculture)
શિક્ષક દિન	Fête des professeurs
મત્સ્યઉછેર	Aquaculture
ઇલોરાની ગુફાઓ	Ellorâ
હુમાયુનો મકબરો	Tombe de Humayun
અષ્ટાધ્યાયી	Panini (grammairien)
મતદાન	Vote
મલ્ટિમીટર	Multimètre
ઇસ્કોન	Association internationale pour la conscience de Krishna
શરીર વૃદ્ધી અંતઃસ્ત્રાવ	Hormone de croissance
શક સંવત	Calendrier hindou
વેબ ડિઝાઈન	Conception de site web
વિલવણીકરણ	Dessalement
સક્રિય કાર્બન	Charbon actif
ચણોઠી	Abrus precatorius
સીતા	Sītā
લક્ષ્મી મિત્તલ	Lakshmi Mittal
ગોદાવરી	Godavari
લૂઈસ વીટન	Louis Vuitton
