अफ्रीका	Afrique
फ्रान्सिस बेकन	Francis Bacon (philosophe)
घुँडा	Genou
खुर्पानी	Abricotier
संयुक्त राष्ट्र सुरक्षा परिषद	Conseil de sécurité des Nations unies
कुहिरो	Brouillard
महाकाव्य	Épopée
चश्मा	Lunettes
बहुभुज	Polygone
प्रणय दिवस	Saint-Valentin
असिना	Grêle
मिला कुनिज	Mila Kunis
ई.पू. ४३	43 av. J.-C.
अपरेसन डेजर्ट शिल्ड	Guerre du Golfe
बजार	Marché
पल गोगे	Paul Gauguin
हाइकु	Haïku
क्रोमोसोम	Chromosome
साहित्यमा नोबेल पुरस्कार	Prix Nobel de littérature
हुलाक टिकट	Timbre postal
सखरखण्ड	Patate douce
ग्रेगर जोन मेन्डल	Gregor Mendel
अकिहितो	Akihito
रङ्गुन	Rangoun
ई.पू. ६३	63 av. J.-C.
भौतिक शास्त्रमा नोबेल पुरस्कार	Prix Nobel de physique
लियोनार्दो डि र्कापियो	Leonardo DiCaprio
ई.पू. ३१	31 av. J.-C.
आशा भोसले	Asha Bhosle
अटिज्म	Autisme
देवनागरी लिपि	Devanagari
खरबुजा	Pastèque
बाबरी	Basilic (plante)
रोमन संख्या	Numération romaine
ज्वरो	Fièvre
ई.पू. ४	4 av. J.-C.
अन्तर्राष्ट्रिय महिला दिवस	Journée internationale de la femme
भोरालबर्ग	Vorarlberg
मानव विकास सूचकांक	Indice de développement humain
पिसाको लेनिङ टावर	Tour de Pise
ई.पू. १००	100 av. J.-C.
खुल्ला श्रोत	Open source
ई.पू. ८	8 av. J.-C.
रेबिज	Rage (maladie)
फुस्रोटाउके काष्ठकुट	Pic à coiffe grise
भोटे कुकुर	Dogue du Tibet
बन्चरो	Hache
रोनाल्डिन्हो	Ronaldinho
ट्रयाक्टर	Tracteur agricole
ब्लुटूथ	Bluetooth
औजार	Outil
चाप	Pression
माइकल फ्लेप्स	Michael Phelps
रेनडियर	Rangifer tarandus
अर्थविज्ञान	Sémantique
स्टोनहेज	Stonehenge
ई.पू. १४	14 av. J.-C.
ई.पू. २७	27 av. J.-C.
गाजा पट्टी	Bande de Gaza
ई.पू. १९	19 av. J.-C.
बजारशास्त्र	Marketing
उपत्यका	Vallée
ई.पू. ३	3 av. J.-C.
राष्ट्रिय जनगणना	Recensement de la population
स्टीफन किङ	Stephen King
रेडियो स्टुडियो ५४ नेटवर्क	Radio Studio 54 Network
प्यान्ट	Pantalon
दशक	Décennie
मधेशी बदाम	Amandier
वेद	Véda
ई.पू. ५८	58 av. J.-C.
ई.पू. ५२	52 av. J.-C.
पेयपदार्थ	Boisson
कम्प्युटर प्रोग्राम	Programme informatique
ई.पू. ६	6 av. J.-C.
ई.पू. ३४	34 av. J.-C.
ई.पू. ५९	59 av. J.-C.
ई.पू. ५७	57 av. J.-C.
अक्टोपस	Octopoda
अम्ल वर्षा	Pluie acide
निर्वाचन	Élection
केन्द्रक	Noyau (biologie)
अधिवक्ता	Avocat (métier)
कारागार	Prison
ई.पू. ५	5 av. J.-C.
ई.पू. २३	23 av. J.-C.
परवेज मुशर्रफ	Pervez Musharraf
राशि-चक्र	Zodiaque
जीवावशेष	Fossile
माइस्पेस	Myspace
जेनिफर लोपेज	Jennifer Lopez
डिलमा रौसेफ	Dilma Rousseff
ई.पू. ६५	65 av. J.-C.
सान्ड्रा बुलक	Sandra Bullock
गँगटो	Brachyura
शल्यक्रिया	Chirurgie
ई.पू. २९	29 av. J.-C.
ई.पू. ५३	53 av. J.-C.
ई.पू. ९०	90 av. J.-C.
पखाला	Diarrhée
अण्डमान र निकोबार द्वीप समूह	Îles Andaman-et-Nicobar
ई.पू. ७	7 av. J.-C.
ई.पू. ९	9 av. J.-C.
ई.पू. ३२	32 av. J.-C.
ई.पू. ९१	91 av. J.-C.
ईटानगर	Itanagar
ई.पू. ८४	84 av. J.-C.
ई.पू. ४८	48 av. J.-C.
ई.पू. २६	26 av. J.-C.
ई.पू. ७०	70 av. J.-C.
ई.पू. ५५	55 av. J.-C.
ई.पू. ११	11 av. J.-C.
जेजु प्रान्त	Jeju-do
डेमी लोभाटो	Demi Lovato
सुवर्ण महाचील	Aigle royal
सिक्का	Pièce de monnaie
दक्षिणी गोलार्ध	Hémisphère sud
ई.पू. ६९	69 av. J.-C.
ई.पू. १६	16 av. J.-C.
ई.पू. ३५	35 av. J.-C.
ई.पू. १३	13 av. J.-C.
ओपेरा ब्राउजर	Opera
बारपेटा	District de Barpeta
परिवेग	Quantité de mouvement
बरेली मण्डल	Division de Bareli
अलीगढ मण्डल	Division d'Aligarh
आगरा मण्डल	Division d'Agra
इलाहाबाद मण्डल	Division d'Allâhâbâd
जोन डाल्टन	John Dalton
रकेट	Fusée (astronautique)
ई.पू. १७	17 av. J.-C.
ई.पू. ६७	67 av. J.-C.
ई.पू. ८८	88 av. J.-C.
ई.पू. ९६	96 av. J.-C.
ई.पू. ५४	54 av. J.-C.
ई.पू. ८७	87 av. J.-C.
शङ्खेत्रो	Citrus ×paradisi
ई.पू. २४	24 av. J.-C.
ई.पू. ७७	77 av. J.-C.
हर्सा	Pathologie hémorroïdaire
अदालत	Tribunal
विलियम ब्लेक	William Blake
ई.पू. ६०	60 av. J.-C.
ई.पू. ५६	56 av. J.-C.
ई.पू. ९८	98 av. J.-C.
ई.पू. ५१	51 av. J.-C.
रोडेसको कोलोसस	Colosse de Rhodes
हरितगृह प्रभाव	Effet de serre
जुलिया गिलार्ड	Julia Gillard
ह्याम्लेट	Hamlet
छारे रोग	Épilepsie
छाता	Parapluie
धनियाँ	Coriandre
हाइफा	Haïfa
ई.पू. ८१	81 av. J.-C.
ई.पू. ६२	62 av. J.-C.
ई.पू. ९५	95 av. J.-C.
ई.पू. ७१	71 av. J.-C.
ई.पू. ९७	97 av. J.-C.
भारतको झण्डा	Drapeau de l'Inde
गिनिज बुक अफ वर्ल्ड रेकर्डस	Livre Guinness des records
परिकल्पना	Hypothèse
ई.पू. ८६	86 av. J.-C.
ई.पू. ८०	80 av. J.-C.
ई.पू. ७४	74 av. J.-C.
ई.पू. ६४	64 av. J.-C.
ई.पू. ९९	99 av. J.-C.
ई.पू. ७६	76 av. J.-C.
ई.पू. ७९	79 av. J.-C.
ई.पू. ६१	61 av. J.-C.
मनमोहन सिंह	Manmohan Singh
रोजा पार्क्स	Rosa Parks
बेबीलोनको झुलन बगैंचा	Jardins suspendus de Babylone
ई.पू. ५०	50 av. J.-C.
हाब्रे	Ailurus fulgens
अन्तर्राष्ट्रिय परमाणु ऊर्जा अभिकरण	Agence internationale de l'énergie atomique
कालो मृत्यु	Peste noire
अनुराधा पौडवाल	Anuradha Paudwal
आग्नेय चट्टान	Roche magmatique
हुँडार	Hyaenidae
ई.पू. ३९९	399 av. J.-C.
हुयान साङ	Xuanzang
गोबी मरुभूमि	Désert de Gobi
नागरिकता	Citoyenneté
पुट्ठा	Fesse
ओच्छ्यान	Lit (mobilier)
बकिंघम प्यालेस	Palais de Buckingham
ई.पू. ८२	82 av. J.-C.
निलो व्हेल	Baleine bleue
ई.पू. १४९	149 av. J.-C.
ई.पू. १०१	101 av. J.-C.
हँसिया	Faucille
अनुसन्धान	Recherche scientifique
राइबोसोम	Ribosome
सुली प्रुधोमे	Sully Prudhomme
स्पेन राष्ट्रिय फुटबल टिम	Équipe d'Espagne de football
बुट्यान	Arbrisseau
मलेवा	Pigeon biset
राजमा	Haricot
ई.पू. ८३	83 av. J.-C.
ई.पू. ९२	92 av. J.-C.
ई.पू. ९३	93 av. J.-C.
ई.पू. ९४	94 av. J.-C.
ई.पू. ७८	78 av. J.-C.
नीहारिका	Nébuleuse
अङ्ग्रेज	Anglais (peuple)
ई.पू. ६६	66 av. J.-C.
ई.पू. ८५	85 av. J.-C.
ई.पू. ८९	89 av. J.-C.
ई.पू. ७२	72 av. J.-C.
ई.पू. ७३	73 av. J.-C.
ई.पू. ६८	68 av. J.-C.
ई.पू. ७५	75 av. J.-C.
क्याटी पेरी	Katy Perry
खरानी (रङ्ग)	Gris
सिन्धु घाटी सभ्यता	Civilisation de la vallée de l'Indus
बेसार	Curcuma
कुहिना	Coude
कोकराझाड़	District de Kokrajhar
वन बिरालो	Chaus
चरी बाघ	Chat-léopard
भैँसी	Bubalus bubalis
फर्नान्डो टोरेस	Fernando Torres
अड्रे हेपबर्न	Audrey Hepburn
डिप्रेसन	Dépression (psychiatrie)
चङ्गा	Cerf-volant
निकोलस केज	Nicolas Cage
सवारी साधन	Véhicule
कृष्ण	Krishna
ई.पू. २०१	201 av. J.-C.
ई.पू. २०२	202 av. J.-C.
अररिया जिल्ला	District d'Araria
उत्परिवर्तन	Mutation (génétique)
आगरा	Agra
मनसून	Mousson
ई.पू. १४६	146 av. J.-C.
जुका	Hirudinea
आर्टेमिसको मन्दिर	Temple d'Artémis à Éphèse
ई.पू. ३५६	356 av. J.-C.
विद्युतीय अभियान्त्रिकी (इन्जिनियरिङ)	Électrotechnique
डेमी मुर	Demi Moore
अनिकाल	Sécheresse
मरिच	Poivrier noir
मूलभूत कण	Particule élémentaire
केभिन रुड	Kevin Rudd
भान्सा	Cuisine (pièce)
गोही	Crocodylidae
ई.पू. ११०	110 av. J.-C.
द्वीलैङ्गिकता	Bisexualité
ई.पू. १०६	106 av. J.-C.
ई.पू. ४८०	480 av. J.-C.
एलेक्जेन्ड्रियाको प्रकाशघर	Phare d'Alexandrie
ई.पू. ३३१	331 av. J.-C.
टाइम (पत्रिका)	Time (magazine)
ई.पू. २००	200 av. J.-C.
जर्मनी राष्ट्रिय फुटबल टिम	Équipe d'Allemagne de football
