Afraga	Afrique
Canyon County, Idaho	Comté de Canyon
Barren County, Kentucky	Comté de Barren
Green County, Kentucky	Comté de Green (Kentucky)
Benton County, Missouri	Comté de Benton (Missouri)
Carter County, Kentucky	Comté de Carter (Kentucky)
Anderson County, Kentucky	Comté d'Anderson (Kentucky)
Bourbon County, Kentucky	Comté de Bourbon (Kentucky)
Kane County, Illinois	Comté de Kane (Illinois)
Fremont County, Iowa	Comté de Fremont (Iowa)
Grundy County, Iowa	Comté de Grundy (Iowa)
Hamilton County, Iowa	Comté de Hamilton (Iowa)
San Bernardino, Calafòrnia	San Bernardino (États-Unis)
Fillmore County, Minnesota	Comté de Fillmore (Minnesota)
Henry County, Illinois	Comté de Henry (Illinois)
Elmore County, Idaho	Comté d'Elmore (Idaho)
Guthrie County, Iowa	Comté de Guthrie
Boise County, Idaho	Comté de Boise
Boundary County, Idaho	Comté de Boundary
Bear Lake County, Idaho	Comté de Bear Lake
Benewah County, Idaho	Comté de Benewah
Bonneville County, Idaho	Comté de Bonneville
Jasper County, Illinois	Comté de Jasper (Illinois)
Cedar Rapids, Iowa	Cedar Rapids
Jefferson County, Illinois	Comté de Jefferson (Illinois)
Henderson County, Illinois	Comté de Henderson (Illinois)
Madison County, Illinois	Comté de Madison (Illinois)
Williamson County, Illinois	Comté de Williamson (Illinois)
Union County, Illinois	Comté d'Union (Illinois)
Kansas City, Kansas	Kansas City (Kansas)
Massac County, Illinois	Comté de Massac
Rochester, Minnesota	Rochester (Minnesota)
Washington County, Illinois	Comté de Washington (Illinois)
Franklin County, Illinois	Comté de Franklin (Illinois)
Hardin County, Illinois	Comté de Hardin (Illinois)
Randolph County, Illinois	Comté de Randolph (Illinois)
Menard County, Illinois	Comté de Menard (Illinois)
St. Clair County, Illinois	Comté de Saint Clair (Illinois)
Perry County, Illinois	Comté de Perry (Illinois)
Jo Daviess County, Illinois	Comté de Jo Daviess
Wabash County, Illinois	Comté de Wabash (Illinois)
Canadian County, Oklahoma	Comté de Canadian
Grant County, Oklahoma	Comté de Grant (Oklahoma)
Harmon County, Oklahoma	Comté de Harmon
Johnston County, Oklahoma	Comté de Johnston (Oklahoma)
Ford County, Illinois	Comté de Ford (Illinois)
Boyle County, Kentucky	Comté de Boyle
Lincoln County, Idaho	Comté de Lincoln (Idaho)
LaSalle County, Illinois	Comté de LaSalle
Feadan gunna	Canon (arme à feu)
Piatt County, Illinois	Comté de Piatt
Marktl	Marktl
McHenry County, Illinois	Comté de McHenry (Illinois)
Lemhi County, Idaho	Comté de Lemhi
Tesco	Tesco
Pottawattamie County, Iowa	Comté de Pottawattamie
Honolulu County, Hawaii	Comté d'Honolulu
Conecuh County, Alabama	Comté de Conecuh
Covington County, Alabama	Comté de Covington (Alabama)
Colbert County, Alabama	Comté de Colbert
Coosa County, Alabama	Comté de Coosa
Escambia County, Alabama	Comté d'Escambia (Alabama)
Calw	Calw
Salinas, Calafòrnia	Salinas (Californie)
Ontario, Calafòrnia	Ontario (Californie)
Pulaski County, Illinois	Comté de Pulaski (Illinois)
Caribou County, Idaho	Comté de Caribou
Hendry County, Florida	Comté de Hendry
Montgomery County, Illinois	Comté de Montgomery (Illinois)
Charlotte County, Florida	Comté de Charlotte (Floride)
White County, Illinois	Comté de White (Illinois)
Custer County, Idaho	Comté de Custer (Idaho)
Brevard County, Florida	Comté de Brevard
Monroe County, Illinois	Comté de Monroe (Illinois)
Indian River County, Florida	Comté d'Indian River
Collier County, Florida	Comté de Collier
Jackson County, Florida	Comté de Jackson (Floride)
Orange County, Florida	Comté d'Orange (Floride)
Bingham County, Idaho	Comté de Bingham
Carroll County, Illinois	Comté de Carroll (Illinois)
Ogle County, Illinois	Comté d'Ogle
Greene County, Iowa	Comté de Greene (Iowa)
Hernando County, Florida	Comté de Hernando (Floride)
Leon County, Florida	Comté de Leon (Floride)
Blaine County, Idaho	Comté de Blaine (Idaho)
Monongalia County, Virginia an Iar	Comté de Monongalia (Virginie-Occidentale)
Albemarle County, Virginia	Comté d'Albemarle
Montgomery County, Maryland	Comté de Montgomery (Maryland)
Baltimore County, Maryland	Comté de Baltimore
Butler County, Pennsylvania	Comté de Butler (Pennsylvanie)
Alleghany County, Virginia	Comté d'Alleghany (Virginie)
Erie County, Pennsylvania	Comté d'Érié (Pennsylvanie)
Fayette County, Pennsylvania	Comté de Fayette (Pennsylvanie)
Bradford County, Pennsylvania	Comté de Bradford (Pennsylvanie)
Dauphin County, Pennsylvania	Comté de Dauphin
Columbia County, Pennsylvania	Comté de Columbia (Pennsylvanie)
Carbon County, Pennsylvania	Comté de Carbon (Pennsylvanie)
Anne Arundel County, Maryland	Comté d'Anne Arundel
Eureka, Calafòrnia	Eureka (Californie)
Monroe County, Virginia an Iar	Comté de Monroe (Virginie-Occidentale)
Hardee County, Florida	Comté de Hardee
DeSoto County, Florida	Comté de DeSoto (Floride)
Dixie County, Florida	Comté de Dixie
Lafayette County, Florida	Comté de Lafayette (Floride)
Franklin County, Florida	Comté de Franklin (Floride)
Nassau County, Florida	Comté de Nassau (Floride)
Citrus County, Florida	Comté de Citrus
Alachua County, Florida	Comté d'Alachua
Crenshaw County, Alabama	Comté de Crenshaw
Dale County, Alabama	Comté de Dale
Dallas County, Alabama	Comté de Dallas (Alabama)
Clay County, Florida	Comté de Clay (Floride)
Jefferson County, Florida	Comté de Jefferson (Floride)
Bay County, Florida	Comté de Bay (Floride)
Hillsborough County, Florida	Comté de Hillsborough (Floride)
Holmes County, Florida	Comté de Holmes (Floride)
Highlands County, Florida	Comté de Highlands
Franklin County, Alabama	Comté de Franklin (Alabama)
Teton County, Wyoming	Comté de Teton (Wyoming)
Carroll County, Virginia	Comté de Carroll (Virginie)
Davison County, Dakota a Deas	Comté de Davison
Oceanside, Calafòrnia	Oceanside (Californie)
Brown County, Dakota a Deas	Comté de Brown (Dakota du Sud)
Brookings County, Dakota a Deas	Comté de Brookings
Codington County, Dakota a Deas	Comté de Codington
Corson County, Dakota a Deas	Comté de Corson
Clark County, Dakota a Deas	Comté de Clark (Dakota du Sud)
Brule County, Dakota a Deas	Comté de Brule
Dewey County, Dakota a Deas	Comté de Dewey (Dakota du Sud)
Lawrence County, Dakota a Deas	Comté de Lawrence (Dakota du Sud)
Charles Mix County, Dakota a Deas	Comté de Charles Mix
Green County, Wisconsin	Comté de Green (Wisconsin)
Minnehaha County, Dakota a Deas	Comté de Minnehaha
Sioux City, Iowa	Sioux City
Douglas County, Dakota a Deas	Comté de Douglas (Dakota du Sud)
Deuel County, Dakota a Deas	Comté de Deuel (Dakota du Sud)
Clay County, Dakota a Deas	Comté de Clay (Dakota du Sud)
Marshall County, Oklahoma	Comté de Marshall (Oklahoma)
Love County, Oklahoma	Comté de Love
Kay County, Oklahoma	Comté de Kay
Tillman County, Oklahoma	Comté de Tillman
Hughes County, Oklahoma	Comté de Hughes (Oklahoma)
Roger Mills County, Oklahoma	Comté de Roger Mills
Haakon County, Dakota a Deas	Comté de Haakon
Anderson County, Carolina a Deas	Comté d'Anderson (Caroline du Sud)
Woodward County, Oklahoma	Comté de Woodward
Wagoner County, Oklahoma	Comté de Wagoner
Pushmataha County, Oklahoma	Comté de Pushmataha
Woods County, Oklahoma	Comté de Woods
Pawnee County, Oklahoma	Comté de Pawnee (Oklahoma)
Murray County, Oklahoma	Comté de Murray (Oklahoma)
Tulsa County, Oklahoma	Comté de Tulsa
Washington County, Oklahoma	Comté de Washington (Oklahoma)
Wheeler County, Nebraska	Comté de Wheeler (Nebraska)
Custer County, Dakota a Deas	Comté de Custer (Dakota du Sud)
Randolph County, Missouri	Comté de Randolph (Missouri)
York County, Nebraska	Comté de York (Nebraska)
Hamilton County, Nebraska	Comté de Hamilton (Nebraska)
Nemaha County, Nebraska	Comté de Nemaha (Nebraska)
Johnson County, Nebraska	Comté de Johnson (Nebraska)
Logan County, Nebraska	Comté de Logan (Nebraska)
Pawnee County, Nebraska	Comté de Pawnee (Nebraska)
Webster County, Nebraska	Comté de Webster (Nebraska)
Hooker County, Nebraska	Comté de Hooker
Thomas County, Nebraska	Comté de Thomas (Nebraska)
Nance County, Nebraska	Comté de Nance
Keya Paha County, Nebraska	Comté de Keya Paha
Greeley County, Nebraska	Comté de Greeley (Nebraska)
Rock County, Nebraska	Comté de Rock (Nebraska)
Richardson County, Nebraska	Comté de Richardson
Garfield County, Nebraska	Comté de Garfield (Nebraska)
New Madrid County, Missouri	Comté de New Madrid
Garden County, Nebraska	Comté de Garden
Saline County, Missouri	Comté de Saline (Missouri)
Ripley County, Missouri	Comté de Ripley (Missouri)
Ste. Genevieve County, Missouri	Comté de Sainte-Geneviève
St. Clair County, Missouri	Comté de Saint Clair (Missouri)
Nodaway County, Missouri	Comté de Nodaway (Missouri)
Polk County, Missouri	Comté de Polk (Missouri)
Reynolds County, Missouri	Comté de Reynolds
Ozark County, Missouri	Comté d'Ozark
St. Charles County, Missouri	Comté de Saint Charles
Pike County, Missouri	Comté de Pike (Missouri)
Ray County, Missouri	Comté de Ray
Putnam County, Missouri	Comté de Putnam (Missouri)
Newton County, Missouri	Comté de Newton (Missouri)
Osage County, Missouri	Comté d'Osage (Missouri)
Platte County, Missouri	Comté de Platte (Missouri)
Perry County, Missouri	Comté de Perry (Missouri)
Jefferson County, Nebraska	Comté de Jefferson (Nebraska)
Pulaski County, Missouri	Comté de Pulaski (Missouri)
Moniteau County, Missouri	Comté de Moniteau
Jefferson County, Missouri	Comté de Jefferson (Missouri)
Livingston County, Missouri	Comté de Livingston (Missouri)
Macon County, Missouri	Comté de Macon (Missouri)
Lafayette County, Missouri	Comté de Lafayette (Missouri)
Mississippi County, Missouri	Comté de Mississippi (Missouri)
Johnson County, Missouri	Comté de Johnson (Missouri)
Monroe County, Missouri	Comté de Monroe (Missouri)
Ratzeburg	Ratzebourg
Marion County, Missouri	Comté de Marion (Missouri)
McDonald County, Missouri	Comté de McDonald
Cambria County, Pennsylvania	Comté de Cambria
Linn County, Missouri	Comté de Linn (Missouri)
Lewis County, Missouri	Comté de Lewis (Missouri)
Knox County, Missouri	Comté de Knox (Missouri)
Miller County, Missouri	Comté de Miller (Missouri)
Laclede County, Missouri	Comté de Laclede
Iron County, Missouri	Comté d'Iron (Missouri)
Madison County, Missouri	Comté de Madison (Missouri)
Montgomery County, Missouri	Comté de Montgomery (Missouri)
Jasper County, Missouri	Comté de Jasper (Missouri)
Mercer County, Missouri	Comté de Mercer (Missouri)
Taylor County, Texas	Comté de Taylor (Texas)
Appomattox County, Virginia	Comté d'Appomattox
Lincoln County, Montana	Comté de Lincoln (Montana)
Greene County, Missouri	Comté de Greene (Missouri)
Hickory County, Missouri	Comté de Hickory
Gentry County, Missouri	Comté de Gentry
Henry County, Missouri	Comté de Henry (Missouri)
Franklin County, Missouri	Comté de Franklin (Missouri)
Gasconade County, Missouri	Comté de Gasconade
Grundy County, Missouri	Comté de Grundy (Missouri)
Harrison County, Missouri	Comté de Harrison (Missouri)
Holt County, Missouri	Comté de Holt (Missouri)
Ventura, Calafòrnia	Ventura (Californie)
Judith Basin County, Montana	Comté de Judith Basin
Oconto County, Wisconsin	Comté d'Oconto
Bayfield County, Wisconsin	Comté de Bayfield
Sublette County, Wyoming	Comté de Sublette
Grant County, Dakota a Deas	Comté de Grant (Dakota du Sud)
Hudson County, Jersey Nuadh	Comté de Hudson
Platte County, Wyoming	Comté de Platte (Wyoming)
Sheridan County, Wyoming	Comté de Sheridan (Wyoming)
Door County, Wisconsin	Comté de Door
Gulfport, Mississippi	Gulfport (Mississippi)
Luce County, Michigan	Comté de Luce
Red Willow County, Nebraska	Comté de Red Willow
Haskell County, Oklahoma	Comté de Haskell (Oklahoma)
Dodge County, Nebraska	Comté de Dodge (Nebraska)
Custer County, Oklahoma	Comté de Custer (Oklahoma)
Biloxi, Mississippi	Biloxi (Mississippi)
Dewey County, Oklahoma	Comté de Dewey (Oklahoma)
Coal County, Oklahoma	Comté de Coal
Fort Collins, Colorado	Fort Collins
Sanders County, Montana	Comté de Sanders
Bloomington, Minnesota	Bloomington (Minnesota)
Choctaw County, Oklahoma	Comté de Choctaw (Oklahoma)
Stillwater County, Montana	Comté de Stillwater
Carroll County, Missouri	Comté de Carroll (Missouri)
Alfalfa County, Oklahoma	Comté d'Alfalfa
Craig County, Oklahoma	Comté de Craig (Oklahoma)
Howard County, Missouri	Comté de Howard (Missouri)
Pendleton County, Virginia an Iar	Comté de Pendleton (Virginie-Occidentale)
Somerset County, Pennsylvania	Comté de Somerset (Pennsylvanie)
York County, Pennsylvania	Comté de York (Pennsylvanie)
Berks County, Pennsylvania	Comté de Berks
Boone County, Virginia an Iar	Comté de Boone (Virginie-Occidentale)
Brooke County, Virginia an Iar	Comté de Brooke
Jefferson County, Virginia an Iar	Comté de Jefferson (Virginie-Occidentale)
Berkeley County, Virginia an Iar	Comté de Berkeley (Virginie-Occidentale)
Morgan County, Virginia an Iar	Comté de Morgan (Virginie-Occidentale)
Calhoun County, Virginia an Iar	Comté de Calhoun (Virginie-Occidentale)
Richland County, Illinois	Comté de Richland (Illinois)
Whiteside County, Illinois	Comté de Whiteside
Logan County, Illinois	Comté de Logan (Illinois)
Morgan County, Illinois	Comté de Morgan (Illinois)
Sangamon County, Illinois	Comté de Sangamon
Fulton County, Illinois	Comté de Fulton (Illinois)
Rock Island County, Illinois	Comté de Rock Island
Iroquois County, Illinois	Comté d'Iroquois
Pike County, Illinois	Comté de Pike (Illinois)
Warren County, Illinois	Comté de Warren (Illinois)
Schuyler County, Illinois	Comté de Schuyler (Illinois)
Stephenson County, Illinois	Comté de Stephenson
Lee County, Illinois	Comté de Lee (Illinois)
Aroostook County, Maine	Comté d'Aroostook
Minidoka County, Idaho	Comté de Minidoka
Teton County, Idaho	Comté de Teton (Idaho)
Lewis County, Idaho	Comté de Lewis (Idaho)
Jessamine County, Kentucky	Comté de Jessamine
Mason County, Kentucky	Comté de Mason (Kentucky)
Powell County, Kentucky	Comté de Powell (Kentucky)
Mackinac County, Michigan	Comté de Mackinac
Fontana, Calafòrnia	Fontana (Californie)
Lee County, Kentucky	Comté de Lee (Kentucky)
Canton, Ohio	Canton (Ohio)
Power County, Idaho	Comté de Power
Owyhee County, Idaho	Comté d'Owyhee
Moultrie County, Illinois	Comté de Moultrie
Valley County, Idaho	Comté de Valley (Idaho)
Twin Falls County, Idaho	Comté de Twin Falls
Mason County, Illinois	Comté de Mason (Illinois)
Muscatine County, Iowa	Comté de Muscatine
Wayne County, Missouri	Comté de Wayne (Missouri)
Mercer County, Illinois	Comté de Mercer (Illinois)
Payette County, Idaho	Comté de Payette
O'Brien County, Iowa	Comté d'O'Brien
Macoupin County, Illinois	Comté de Macoupin
Wright County, Iowa	Comté de Wright (Iowa)
Madison County, Idaho	Comté de Madison (Idaho)
Marshall County, Illinois	Comté de Marshall (Illinois)
Lawrence County, Illinois	Comté de Lawrence (Illinois)
Logan County, Kentucky	Comté de Logan (Kentucky)
Meagher County, Montana	Comté de Meagher
Alexander County, Carolina a Tuath	Comté d'Alexander (Caroline du Nord)
Caddo County, Oklahoma	Comté de Caddo
Bryan County, Oklahoma	Comté de Bryan (Oklahoma)
Blaine County, Oklahoma	Comté de Blaine (Oklahoma)
Ashe County, Carolina a Tuath	Comté d'Ashe
Cherokee County, Oklahoma	Comté de Cherokee (Oklahoma)
Beckham County, Oklahoma	Comté de Beckham
Hutchinson County, Dakota a Deas	Comté de Hutchinson (Dakota du Sud)
Fulton County, Kentucky	Comté de Fulton (Kentucky)
Carlisle County, Kentucky	Comté de Carlisle
Clinton County, Kentucky	Comté de Clinton (Kentucky)
Ballard County, Kentucky	Comté de Ballard
Hardin County, Kentucky	Comté de Hardin (Kentucky)
Carroll County, Kentucky	Comté de Carroll (Kentucky)
Casey County, Kentucky	Comté de Casey
Hart County, Kentucky	Comté de Hart (Kentucky)
Franklin County, Kentucky	Comté de Franklin (Kentucky)
Calloway County, Kentucky	Comté de Calloway
Berja	Berja
Fayette County, Kentucky	Comté de Fayette (Kentucky)
Campbell County, Kentucky	Comté de Campbell (Kentucky)
Bell County, Kentucky	Comté de Bell (Kentucky)
Bracken County, Kentucky	Comté de Bracken
Androscoggin County, Maine	Comté d'Androscoggin
Grant County, Kentucky	Comté de Grant (Kentucky)
Clay County, Kentucky	Comté de Clay (Kentucky)
Harrison County, Kentucky	Comté de Harrison (Kentucky)
Bullitt County, Kentucky	Comté de Bullitt
Caldwell County, Kentucky	Comté de Caldwell (Kentucky)
Garrard County, Kentucky	Comté de Garrard
Hancock County, Kentucky	Comté de Hancock (Kentucky)
Boyd County, Kentucky	Comté de Boyd (Kentucky)
Rio Blanco County, Colorado	Comté de Rio Blanco
Harding County, Dakota a Deas	Comté de Harding (Dakota du Sud)
Broomfield, Colorado	Broomfield (Colorado)
Mürzzuschlag	Mürzzuschlag
Pike County, Alabama	Comté de Pike (Alabama)
Grays Harbor County, Washington	Comté de Grays Harbor
Island County, Washington	Comté d'Island
Allen County, Indiana	Comté d'Allen (Indiana)
Yankton County, Dakota a Deas	Comté de Yankton
Seanadh Nàiseanta na Cuimrigh	Assemblée nationale du pays de Galles
Columbia County, Wisconsin	Comté de Columbia (Wisconsin)
Barbour County, Virginia an Iar	Comté de Barbour (Virginie-Occidentale)
Duval County, Florida	Comté de Duval (Floride)
Hampshire County, Virginia an Iar	Comté de Hampshire (Virginie-Occidentale)
Greene County, Alabama	Comté de Greene (Alabama)
Madison County, Alabama	Comté de Madison (Alabama)
Etowah County, Alabama	Comté d'Etowah
Fayette County, Alabama	Comté de Fayette (Alabama)
Worcester County, Maryland	Comté de Worcester (Maryland)
Huntingdon County, Pennsylvania	Comté de Huntingdon (Pennsylvanie)
Doddridge County, Virginia an Iar	Comté de Doddridge
Crawford County, Pennsylvania	Comté de Crawford (Pennsylvanie)
Clinton County, Pennsylvania	Comté de Clinton (Pennsylvanie)
Greene County, Pennsylvania	Comté de Greene (Pennsylvanie)
Beaver County, Pennsylvania	Comté de Beaver (Pennsylvanie)
Lehigh County, Pennsylvania	Comté de Lehigh
Franklin County, Pennsylvania	Comté de Franklin (Pennsylvanie)
Cabell County, Virginia an Iar	Comté de Cabell
Cumberland County, Pennsylvania	Comté de Cumberland (Pennsylvanie)
Braxton County, Virginia an Iar	Comté de Braxton
Cameron County, Pennsylvania	Comté de Cameron (Pennsylvanie)
Blair County, Pennsylvania	Comté de Blair
Jefferson County, Pennsylvania	Comté de Jefferson (Pennsylvanie)
Mifflin County, Pennsylvania	Comté de Mifflin
Northumberland County, Pennsylvania	Comté de Northumberland (Pennsylvanie)
Wayne County, Pennsylvania	Comté de Wayne (Pennsylvanie)
Bedford County, Pennsylvania	Comté de Bedford (Pennsylvanie)
Brunswick County, Virginia	Comté de Brunswick (Virginie)
Armstrong County, Pennsylvania	Comté d'Armstrong (Pennsylvanie)
Bucks County, Pennsylvania	Comté de Bucks
Clarion County, Pennsylvania	Comté de Clarion
Greenbrier County, Virginia an Iar	Comté de Greenbrier (Virginie-Occidentale)
Schuylkill County, Pennsylvania	Comté de Schuylkill
Fulton County, Pennsylvania	Comté de Fulton (Pennsylvanie)
Bedford County, Virginia	Comté de Bedford (Virginie)
