Āfrika	Afrique
Millennium	Millennium
Dikinsons	Dickinson
TD	TD
KE	KE
KH	KH
Mirucs Jifters	Miruts Yifter
Fermi	Fermi
Burn	Burn
PN	PN
Dafa	Duff
Mensons	Manson
Knox	Knox
Lugo (nozīmju atdalīšana)	Lugo
Dobra	Dobra
Edvardss	Edwards
KY	KY
Rota	Rota
Abbey Road	Abbey Road
GW	GW
Karēlija (nozīmju atdalīšana)	Karelia
Hugo Steinhauss	Hugo Steinhaus
Ku	KU
Foster	Foster
Juno	Juno
Juaņ	Yuan (homonymie)
Celsijs (nozīmju atdalīšana)	Celsius
Barons (nozīmju atdalīšana)	Baron
Tocantins	Tocantins (homonymie)
EH	EH
Korpuss	Corpus (homonymie)
Ham	Ham
BIOS	Basic Input Output System
Bošs	Bosch
Spensers	Spencer
MY	MY
QA	QA
Citplanētieši	Alien
Vāsa	Vasa (homonymie)
Benedikts	Benedict
Fukss	Fuchs
35 mm filma	Format 35 mm
Dankans	Duncan
APT	APT
SZ	SZ
VC	VC
Arp (nozīmju atdalīšana)	ARP
HN	HN
Heriss	Harris
Gejs (nozīmju atdalīšana)	Gay
TJ	TJ
Cole	Cole
Džoto	Giotto (homonymie)
CHE	Che (homonymie)
Costa	Costa
Buffon	Buffon
El Paso	El Paso (homonymie)
Jazz	Jazz (homonymie)
Lo	LO
Polo (nozīmju atdalīšana)	Polo (homonymie)
Progress	Progress (homonymie)
AMD	AMD
Pergaments	Parchemin
Hepberna	Hepburn
Marija Šerifoviča	Marija Šerifović
Mēmais kino	Cinéma muet
Svītrainais sesks	Zorille commune
Stiksa	Styx (homonymie)
Zorkels	Lac Zorkul
VU	VU
ANT	ANT
DU	Du
BAM	BAM
Mēbiusa lenta	Ruban de Möbius
Blūmentāls	Blumenthal
CAF	CAF
Premjerlīga (nozīmju atdalīšana)	Premier League
Mediāna (statistika)	Médiane (statistiques)
VAN	Van
Marks Šatlvorts	Mark Shuttleworth
Kanzassitija	Kansas City
Zuks	Zouk
Sari	Sari
Fever	Fever
ESA	ESA
LY	LY
Apple	Apple (homonymie)
Landau	Landau
Barry	Barry
Holden	Holden
Hurt	Hurt
Bērnss	Burns
Rašs	Rush
STS	STS
Atompulkstenis	Horloge atomique
Eizenšteins	Eisenstein
TTT	TTT
Singers	Singer
Mozus (nozīmju atdalīšana)	Moïse (homonymie)
Melnais gulbis (nozīmju atdalīšana)	Black Swan
Skābe (nozīmju atdalīšana)	Acid
Oksidatīvā fosforilēšana	Phosphorylation oxydative
Doom (nozīmju atdalīšana)	Doom
Spriegums (nozīmju atdalīšana)	Tension
Firebird	Oiseau de feu (homonymie)
AE	AE
NAM	NAM
Džordžs Tupou V	George Tupou V
Lambert	Lambert
Keidžs	Cage (homonymie)
PAL (nozīmju atdalīšana)	Pal
Lisa	Lisa
Roma (nozīmju atdalīšana)	Roma
Kaka	Kaka
Regbijs (nozīmju atdalīšana)	Rugby
Maksimiliāns II	Maximilien II
Alesandro Nesta	Alessandro Nesta
Laplata	La Plata (homonymie)
NZ	NZ
PW	PW
PY	PY
VN	VN
VG	VG
FJ	FJ
FK	FK
NR	NR
Minhauzens	Münchhausen
Vidējais ērglis	Aigle criard
Dvīņi (nozīmju atdalīšana)	Jumeau (homonymie)
Acīte	Blackjack (jeu)
Oms (nozīmju atdalīšana)	Ohm
MQ	MQ
Arābijas Lorenss (filma)	Lawrence d'Arabie (film)
Kaķi	Felis
Ticket to Ride (galda spēle)	Les Aventuriers du rail
Kants	Kant (homonymie)
Kali Juga	Kali Yuga
Kasai	Kasaï
Gould	Gould
L1	L1
Otto	Otto
Let It Be	Let It Be
UG	UG
Sparks	Sparks
Ellsworth	Ellsworth
Aspasija	Aspasie
Dole	Dole
Samanta Smita	Samantha Smith
Sefure Elizade	Safura Alizadeh
Emma Robertsa	Emma Roberts
Marta (futboliste)	Marta Vieira da Silva
Reichenau	Reichenau
Sūzena Kolinsa	Suzanne Collins
Aila Fišere	Isla Fisher
Stefanija Raisa	Stephanie Rice
Šerona Teita	Sharon Tate
Kelly Kelly	Kelly Kelly
Next	Next
Lija Mišela	Lea Michele
Materiālzinātne	Science des matériaux
Rūnija Mara	Rooney Mara
Daiena Egrona	Dianna Agron
Bio	BIO
Boils	Boyle
Lenkorāna	Lankaran
Rivera	Rivera
Džeina Linča	Jane Lynch
Ina	INA
Ketrīna Meniga	Katherine Moennig
Mērija Blaidža	Mary J. Blige
Skorpions (nozīmju atdalīšana)	Scorpion (homonymie)
Sāra Errāni	Sara Errani
Minhenes slaktiņš	Prise d'otages des Jeux olympiques de Munich
Debra Vingere	Debra Winger
Hūvers	Hoover
Leslija Manna	Leslie Mann
Heilija Dafa	Haylie Duff
Šona Džonsone	Shawn Johnson
Fanija Blankersa-Kūna	Fanny Blankers-Koen
UM	UM
Indijas Kosmosa pētījumu organizācija	Organisation indienne pour la recherche spatiale
Tīna Karola	Tina Karol
Vailders	Wilder
Ceļa kauls	Rotule
Pena Šuai	Peng Shuai
Pasaules okeāni un jūras	Liste des mers et océans
Māra (nozīmju atdalīšana)	Mara
Pearson	Pearson
KIR	KIR
Kima Jona	Kim Yuna
ARG	Arg
Hisela Dulko	Gisela Dulko
Džeraldīna Ferrāro	Geraldine Ferraro
Gonsaless	Gonzales
Embera Hērda	Amber Heard
Amanda Tapinga	Amanda Tapping
Evana Reičela Vuda	Evan Rachel Wood
Glorija Svansone	Gloria Swanson
Santodomingo (nozīmju atdalīšana)	Santo Domingo
Santaana	Santa Ana
Kasablanka (nozīmju atdalīšana)	Casablanca (homonymie)
Žoržs Luijs Leklerks, grāfs de Bifons	Georges-Louis Leclerc de Buffon
Palma	Palma
Ernsts Ludvigs Kirhners	Ernst Ludwig Kirchner
Regīna Spektore	Regina Spektor
Morīna O'Hara	Maureen O'Hara
Michigan	Michigan (homonymie)
Ketrina Makfī	Katharine McPhee
Džesika Česteina	Jessica Chastain
RSA	RSA
Vera Lina	Vera Lynn
Hetere Morisa	Heather Morris
Kirī	Curie (unité)
Naja Rivera	Naya Rivera
Marija Naumova	Marija Naumova
3D datorgrafikas programmas	Logiciel de modélisation tridimensionnelle
Reba Makintaira	Reba McEntire
Bona Sforca	Bona Sforza
Tatjana Ļebedeva	Tatyana Lebedeva
Inge de Bruina	Inge de Bruijn
Čaka Hāna	Chaka Khan
Vera Čāslavska	Věra Čáslavská
Džeina Mensfīlda	Jayne Mansfield
Mišela Trahtenberga	Michelle Trachtenberg
Beja	Beja
Swift	Swift
Ferrari (nozīmju atdalīšana)	Ferrari
Karloss Gardels	Carlos Gardel
Houpa Solo	Hope Solo
USA	USA (homonymie)
Anastasija Kuzmina	Anastasia Kuzmina
Elizabete Anskomba	G. E. M. Anscombe
Kaja Skodelario	Kaya Scodelario
Je Šiveņa	Ye Shiwen
Natālija Dobrinska	Nataliya Dobrynska
Mālina Okermane	Malin Åkerman
Čelsija Klintone	Chelsea Clinton
Krista Makolife	Christa McAuliffe
Tia Elebo	Tia Hellebaut
Šidzuka Arakava	Shizuka Arakawa
Marise Uelē	Maryse Ouellet
Kimberlija Vaijata	Kimberly Wyatt
3dfx Interactive	3dfx
Mišela Makūla	Michelle McCool
Qt	QT
JM	JM
Sāra Halke	Sarah Chalke
Niama Kavanaha	Niamh Kavanagh
Ērika Diransa	Erica Durance
Nākotne	Futur (homonymie)
Sofo Nižaradze	Sopho Nizharadze
Rita Ora	Rita Ora
Braisa Dalasa Hovarda	Bryce Dallas Howard
Juliāna Paša	Juliana Pasha
Aija Andrejeva	Aisha (chanteuse)
Apbrīnojamais Zirnekļcilvēks	The Amazing Spider-Man (film)
Leihtenbergas Žozefīne	Joséphine de Leuchtenberg
Mihails Kaļiņins	Mikhaïl Kalinine
Čečenijas kari	Guerres en Tchétchénie
Mesalīna	Messaline
Dara Toresa	Dara Torres
Natālija Koflina	Natalie Coughlin
2C-B	2C-B
Mērija Luīza Pārkere	Mary-Louise Parker
Garlapu gundega	Ranunculus lingua
Valentīna Vecāli	Valentina Vezzali
Katalina Sandino Moreno	Catalina Sandino Moreno
Britānija Snova	Brittany Snow
Komsomoļska	Komsomolsk
Rozamunda Paika	Rosamund Pike
Hanna Pakarinena	Hanna Pakarinen
Cielavas	Motacilla
Džanni Rivera	Giovanni Rivera
Mēles mežģis	Virelangue
4×400 metru stafete	Relais 4 × 400 mètres
4×100 metru stafete	Relais 4 × 100 mètres
September	September (chanteuse)
SIM karte	Carte SIM
Simona Halepa	Simona Halep
Silva	Silva
Nastja Ļukina	Nastia Liukin
Panteru apakšdzimta	Pantherinae
Panamerikas spēles	Jeux panaméricains
Eimija Polere	Amy Poehler
Kolmens	Coleman
Bruklina Dekere	Brooklyn Decker
Bīrons	Biron
Embera Railija	Amber Riley
Mičiganas universitāte	Université du Michigan
Vienādspārnu spāres	Zygoptera
Hansens	Hansen
Quantum Leap	Code Quantum
Livingston	Livingston
Savojas Adele	Adélaïde de Savoie
Ešlija Bensone	Ashley Benson
Pola Negri	Pola Negri
Labradors (nozīmju atdalīšana)	Labrador (homonymie)
Anita Ēkberga	Anita Ekberg
Grāfiene Dibarī	Madame du Barry
Mačete	Machette
Advanced Packaging Tool	Advanced Packaging Tool
Aromātiskie ogļūdeņraži	Hydrocarbure aromatique
Marisa Millere	Marisa Miller
Eiklīda algoritms	Algorithme d'Euclide
Rebeka Soni	Rebecca Soni
Ešlija Robertsa	Ashley Roberts
Dženija Makartija	Jenny McCarthy
Nikola Kuka	Nicole Cooke
Viktorija Pendltone	Victoria Pendleton
Amanda Bīrda	Amanda Beard
Patrīcija Hītone	Patricia Heaton
Džeima Meisa	Jayma Mays
Vana Mena	Wang Meng (patinage de vitesse sur piste courte)
Dženija Tompsone	Jenny Thompson
Orianti	Orianthi Panagaris
Andrea Fišbahere	Andrea Fischbacher
Martina Sāblīkova	Martina Sáblíková
Šeilīna Vudlija	Shailene Woodley
Roza Mota	Rosa Mota
Džoana Džeta	Joan Jett
Žoanija Rošē	Joannie Rochette
Bjūkenens	Buchanan
GF	GF
Netbols	Netball
FIS	FIS
Plato	Plato
FRA	FRA
Abioģenēze	Origine de la vie
ATF	ATF
LK	LK
Friedland	Friedland
TZ	TZ
SVN	SVN
Morisons	Morrison
Dana Volmere	Dana Vollmer
PMR	PMR
Billijs Rejs Sairuss	Billy Ray Cyrus
Hesse	Hesse
Kimija Meisnere	Kimmie Meissner
Petra Majdiča	Petra Majdič
Seto jūra	Mer intérieure de Seto
Kristina Šmiguna-Vehi	Kristina Šmigun-Vähi
Mērija Duglasa	Mary Douglas
Mūmija (nozīmju atdalīšana)	The Mummy
Kristena Vīga	Kristen Wiig
Astūrijas karaliste	Royaume des Asturies
Inese Jaunzeme	Inese Jaunzeme
400 metru barjerskrējiens	400 mètres haies
Kīra Korpi	Kiira Korpi
Skudrlauvu dzimta	Myrmeleontidae
Seti	Séthi
Esmē Dentersa	Esmée Denters
Palmer	Palmer
Kara Diogvardi	Kara DioGuardi
Keita Aptone	Kate Upton
Lorencs	Lorenz
Jamamoto	Yamamoto
Uluns	Thé Oolong
Novi Targa	Nowy Targ
Vrangelis	Wrangel
Nona Gaprindašvili	Nona Gaprindashvili
Torija Bleka	Tori Black
Marija Leščiņska	Marie Leszczynska
Dženna Heiza	Jenna Haze
Pataņdžali	Patañjali
Interscope Records	Interscope Records
Morton	Morton
Tumsa (nozīmju atdalīšana)	Darkness
Eva Laru	Eva LaRue
404 (nozīmju atdalīšana)	404 (homonymie)
Thymus	Thymus
Sofija Vergara	Sofía Vergara
Balta	Balta
MT	MT
Greihaunds	Greyhound
Aļona Bondarenko	Alona Bondarenko
Kajsa Bergkvista	Kajsa Bergqvist
Jeļena Sļesarenko	Yelena Slesarenko
Katerīna Bondarenko	Kateryna Bondarenko
Palatāls līdzskanis	Consonne palatale
Beibe Zahariasa	Mildred Didrikson Zaharias
Mika Ņūtone	Mika Newton
Stefka Kostadinova	Stefka Kostadinova
IN	IN
Džūlija Luisa-Dreifusa	Julia Louis-Dreyfus
Roša robeža	Limite de Roche
Amerikas āpsis	Blaireau d'Amérique
Minskas metro	Métro de Minsk
Panama (nozīmju atdalīšana)	Panama (homonymie)
Montekarlo metode	Méthode de Monte-Carlo
Gerrero (nozīmju atdalīšana)	Guerrero (homonymie)
Cērte	Pioche
Sanfrancisko līcis	Baie de San Francisco
Divkājis	Bipied
Cīpsla	Tendon
Helēna Fīldinga	Helen Fielding
Mocarta 41. simfonija	Symphonie nº 41 de Mozart
Moreno	Moreno
Blaus	Blau
Anastasija Sevastova	Anastasija Sevastova
Pipa Midltone	Pippa Middleton
Liverpool	Liverpool (homonymie)
Mazais ērglis	Aigle pomarin
Džuliana Hafa	Julianne Hough
Hrisopiji Deveci	Chrysopiyí Devetzí
DNS (nozīmju atdalīšana)	DNS (homonymie)
Virpi Sarasvo	Virpi Kuitunen
Arina Tanemura	Arina Tanemura
Paralēlā skaitļošana	Parallélisme (informatique)
Kerija Volša	Kerri Walsh
Ketelina Ponora	Cătălina Ponor
Minka Kellija	Minka Kelly
UCI	UCI (homonymie)
Lerina Franko	Leryn Franco
Oļena Baltača	Elena Baltacha
Klāra Hjūza	Clara Hughes
Hilarija Skota	Hillary Scott (actrice pornographique)
Naoko Jamadzaki	Naoko Yamazaki
Birgita Ingeborga Alise	Birgitte de Suède
Džesika Hārdija	Jessica Hardy
Emma Grīna Tregaro	Emma Green Tregaro
Annika Sērenstama	Annika Sörenstam
Maija Čiburdanidze	Maia Tchibourdanidzé
Vilnēvs	Villeneuve
Deimoss	Déimos
Emisija	Émission
Staigājošie miroņi	The Walking Dead (série télévisée)
Marija Abakumova	Mariya Abakumova
Pitaija	Pitaya
Transformeri 3: Mēness no otras puses	Transformers 3
Anna Čepmena	Anna Chapman
Oksana Meņkova	Aksana Miankova
Nadzeja Astapčuka	Nadzeya Astapchuk
Mozaīka	Mosaic
Astra	Astra
Šellijs	Shelley
Hewitt	Hewitt
Doils	Doyle
MRO	MRO
H2O	H2O
Oksana Bajula	Oksana Baiul
Darja Kļišina	Darya Klishina
Divpunktu mārīte	Coccinelle à deux points
Talasa	Talas
Ebija Vambaha	Abby Wambach
Leksi Belle	Lexi Belle
Džesika Dreika	Jessica Drake
Tīgana Preslija	Teagan Presley
Kegnija Linna Kārtere	Kagney Linn Karter
Eva Andželīna	Eva Angelina
Doi	DOI
Beni departaments	Département de Beni
Kauja pie Ipras	Bataille d'Ypres (1915)
Šarlote Kalla	Charlotte Kalla
Karmita Bahara	Carmit Bachar
Džovanna Amati	Giovanna Amati
Iveta Lalova	Ivet Lalova
Krustu kauls	Sacrum
Hanaroa	Hanga Roa
CRT	CRT
Meleagrs	Méléagre
Cidonija	Cydonia
Eiropas Zelta zābaks	Soulier d'or européen
Enija Hola	Annie Hall
Elisone Šmita	Allison Schmitt
Aleksa Morgana	Alex Morgan
Ineta Radēviča	Ineta Radēviča
Karolīna Kostnere	Carolina Kostner
Anna Fenningere	Anna Fenninger
Ross	Ross
Tarpāns	Tarpan
Indijas ekonomika	Économie de l'Inde
Kasete	Cassette
Neruda	Neruda
Pola Redklifa	Paula Radcliffe
Lenz	Lenz
Lenna Kūrmā	Lenna Kuurmaa
Leonīdas (nozīmju atdalīšana)	Léonidas (homonymie)
Irina Rodņina	Irina Rodnina
Johans Nēskenss	Johan Neeskens
Barbara Radzivila	Barbara Radziwiłł
Muzikālā notācija	Notation musicale
Kočabambas departaments	Département de Cochabamba
NASCAR	National Association for Stock Car Auto Racing
Tarihas departaments	Département de Tarija
SCO	SCO
Kerli	Kerli
Denjels Kanemans	Daniel Kahneman
YE	YE
Sagans	Sagan
Papua	Papouasie
Sofija Romanova	Sophie Alexeïevna
Intervāls	Intervalle
Spensers Pērsevals	Spencer Perceval
Čīles ģerbonis	Armoiries du Chili
Hou Jifaņa	Hou Yifan
Ubuntu	Ubuntu (homonymie)
AKA (nozīmju atdalīšana)	Aka
Liliana	Lilian Davies
Ekoloģiskais pēdas nospiedums	Empreinte écologique
Helma	Chełm
Tromlēna	Île Tromelin
Laulības pārkāpšana	Adultère
Daiana Fosija	Dian Fossey
Sūra	Sourate
Hadīti	Hadîth
Staņislavs Ulams	Stanislaw Ulam
Justina Kovalčika	Justyna Kowalczyk
Martina Beka	Martina Beck
Tūra Bergere	Tora Berger
Aino Kaisa Sārinena	Aino-Kaisa Saarinen
Terēse Juheuga	Therese Johaug
Felisita Džonsa	Felicity Jones
Sidnijs Breners	Sydney Brenner
Lauka atmatene	Agaricus campestris
Glotāls līdzskanis	Consonne glottale
Mao Asada	Mao Asada
Hikaru Utada	Hikaru Utada
Vera Muhina	Vera Moukhina
Teda Bara	Theda Bara
Klāra Bova	Clara Bow
Svētā Monika	Sainte Monique
Emīlija Simona	Émilie Simon
Turcijas neatkarības karš	Guerre d'indépendance turque
NEP	NEP
Federika Pellegrīni	Federica Pellegrini
Ketija Frīmena	Cathy Freeman
Sunna	Sunna
Lainas salas	Îles de la Ligne
Allāhs	Allah
Alise Manro	Alice Munro
Niki Rīda	Nikki Reed
Salāhs	Salat (islam)
Jo-Jo Ma	Yo-Yo Ma
Hadžs	Hajj
Mediāna (ģeometrija)	Médiane (géométrie)
Eimija Ērvinga	Amy Irving
Ankija van Grinsvena	Anky van Grunsven
Katrina Siska	Katrin Siska
Emma Jūhansone	Emma Johansson
Heilija Vikenheizere	Hayley Wickenheiser
Vera Hitilova	Věra Chytilová
Sandra Izbaša	Sandra Izbașa
Ališija Sakramone	Alicia Sacramone
Pireta Jervisa	Piret Järvis
Laura Lepiste	Laura Lepistö
Barbara Morgana	Barbara Morgan
Susanna Kallura	Susanna Kallur
Brī Olsona	Bree Olson
Anna Hāga	Anna Haag
Olga Zaiceva	Olga Zaïtseva (biathlon)
Smalltalk	Smalltalk
Santakrusas departaments	Département de Santa Cruz
Čukisakas departaments	Département de Chuquisaca
Eņģelis	Ange
Grieķijas futbola Superlīga	Championnat de Grèce de football
Klijāni	Buteo
Elīna Garanča	Elīna Garanča
Henrijs Jaunais (Plantagenets)	Henri le Jeune
Saša Koena	Sasha Cohen
DY	DY
Mišela Kvana	Michelle Kwan
UY	UY
Akīda	'Aqîda
Liu Jana	Liu Yang
Kristālrežģis	Treillis
Pekinas metro	Métro de Pékin
Sietlas @@@u0026SuperSonics"	SuperSonics de Seattle
MDNA	MDNA
Pando departaments	Département de Pando
Elizabete Beizela	Elizabeth Beisel
Jamaikas futbola izlase	Équipe de Jamaïque de football
Gvinejas futbola izlase	Équipe de Guinée de football
Gabonas futbola izlase	Équipe du Gabon de football
Netscape Navigator	Netscape Navigator
Ikurrina	Drapeau basque
Pegija Vitsone	Peggy Whitson
Helēna Ēkholma	Helena Ekholm
Rīta Līsa Roponena	Riitta-Liisa Roponen
Liesma	Flamme (combustion)
Nikole Stota	Nicole Stott
Pirjo Muranena	Pirjo Muranen
Senšamona	Saint-Chamond
Femke Hēmskerka	Femke Heemskerk
Izabella (Portugāle)	Élisabeth de Portugal
Kloē Seviņī	Chloë Sevigny
Eva Rivasa	Eva Rivas
AAE futbola izlase	Équipe des Émirats arabes unis de football
Līza Stensfīlda	Lisa Stansfield
Pisces	Pisces
Haiti futbola izlase	Équipe d'Haïti de football
Kubas futbola izlase	Équipe de Cuba de football
Padomju Sociālistiskās Republikas	République socialiste soviétique
Elena George	Elena Gheorghe
Amanda Mičalka	Amanda Michalka
Elisone Mičalka	Alyson Michalka
Suvalki	Suwałki
Ebija Korniša	Abbie Cornish
Pokemonu uzskaitījums	Liste des Pokémon
Svetlana Sļepcova	Svetlana Sleptsova
Dragon (kosmosa kuģis)	SpaceX Dragon
Glorjēzu salas	Îles Glorieuses
Abhāzijas ģerbonis	Armoiries de l'Abkhazie
Marsels Paņols	Marcel Pagnol
Anna Karina Sideka	Anna Carin Olofsson-Zidek
Līva Grēte Šelbreida-Puarē	Liv Grete Poirée
Keita Bosvorta	Kate Bosworth
Diāna Vinna Džonsa	Diana Wynne Jones
Marija de Viljota	María de Villota
Sandra Kalniete	Sandra Kalniete
Žuana da Novas sala	Île Juan de Nova
Lidija Koidula	Lydia Koidula
Getera Jāni	Getter Jaani
Krista Lūdinga	Christa Luding
Aņi Loraka	Ani Lorak
Oļa Tira	Olia Tira
2004. gada Vasaras Olimpisko spēļu medaļu tabula	Tableau des médailles des Jeux olympiques d'été de 2004
Linda Marija Barosa	Linda Maria Baros
Mesavērdas nacionālais parks	Parc national de Mesa Verde
Raiders Hegards	Henry Rider Haggard
Pavlohrada	Pavlohrad
Filips V Antigonīds	Philippe V de Macédoine
Kadjakas lācis	Ours kodiak
Merkel	Merkel (homonymie)
Filipa Azevedu	Filipa Azevedo
Tea Gereta	Thea Garrett
Sīneke	Sieneke
Kristīna Šanē	Christina Chanée
Paula Selinga	Paula Seling
Lubina	Lubin (Pologne)
Tehnoloģiskā singularitāte	Singularité technologique
Edīte Rūzvelte	Edith Roosevelt
Akrēcijas disks	Disque d'accrétion
Nimrūda	Kalkhu
Nebalsīgs bilabiāls eksplozīvs slēdzenis	Consonne occlusive bilabiale sourde
Aukslēju kauls	Os palatin
Baranaviči	Baranavitchy
Džordžs Santajana	George Santayana
Tarima	Tarim (fleuve)
Paukošana 2012. gada Vasaras Olimpiskajās spēlēs	Escrime aux Jeux olympiques d'été de 2012
Vērši	Bos
Potosi departaments	Département de Potosí
Šolems Aleihems	Cholem Aleikhem
4DOS	4DOS
Kompleksie savienojumi	Complexe (chimie)
Gorans Pandevs	Goran Pandev
Aragonas monarhu uzskaitījums	Liste des souverains d'Aragon
Pilsētas ugunis	Les Lumières de la ville
Riņķis	Disque (géométrie)
Austrumu konference (NBA)	Conférence Est de la NBA
Dekonstruktīvisms	Déconstructivisme
Prusts	Proust (homonymie)
Baltā tēja	Thé blanc
Lāpstkāji	Scaphopoda
Kodolreakcija	Réaction nucléaire
Mazais grizons	Galictis cuja
We Are the Champions	We Are the Champions
Savanna Samsone	Savanna Samson
5 kāpēc	Cinq pourquoi
Pak-38	5-cm PaK 38
Braiens Oldiss	Brian Aldiss
Ģerģs Bēkēši	Georg von Békésy
Sjui Juihua	Xu Yuhua
Antoaneta Stefanova	Antoaneta Stefanova
2008. gada Pasaules čempionāts biatlonā	Championnats du monde de biathlon 2008
Džejs Čou	Jay Chou
Okeāniskā Zemes garoza	Lithosphère océanique
Andris Bērziņš	Andris Bērziņš
1984. gada Olimpiskās spēles	Jeux olympiques de 1984
Fragile	Fragile
Skala	Skala
Manghistau apgabals	Oblys de Manguistaou
Bartels Bruins	Barthel Bruyn
1988. gada Olimpiskās spēles	Jeux olympiques de 1988
Silene	Silène
You Can Dance	You Can Dance
Estonia	Estonia
Packers	Packer
Vinters	Winter
Martins Ternbergs	Martin Thörnberg
Arābu sacelšanās	Grande Révolte arabe de 1916-1918
Closer to God	Closer to God
Lineta Masai	Linet Masai
Lenons—Makartnijs	Lennon/McCartney
Balsīgs palatāls eksplozīvs slēdzenis	Consonne occlusive palatale voisée
Pjotrs Bagrations	Piotr Ivanovitch Bagration
Ēlande	Öland
StarCraft II	StarCraft 2
90 (skaitlis)	90 (nombre)
Britu Greiema Zemes ekspedīcija	Expédition British Graham Land
A7V	A7V
Taiti futbola izlase	Équipe de Tahiti de football
Stambulas @@@u0026Fenerbahçe Ülker"	Fenerbahçe Ülker
Hunta	Junte (institution)
Kendija Dilfere	Candy Dulfer
Kenijas futbola izlase	Équipe du Kenya de football
Beninas futbola izlase	Équipe du Bénin de football
Irēna Vusta	Ireen Wüst
Brunejas futbola izlase	Équipe de Brunei de football
Runas akts	Acte de langage
Tlmače	Tlmače
Tekvondo 2012. gada Vasaras Olimpiskajās spēlēs	Taekwondo aux Jeux olympiques d'été de 2012
Kālija dihromāts	Dichromate de potassium
Igaunijas futbola Meistarlīga	Championnat d'Estonie de football
Niihau	Niihau
Maemo	Maemo
United	United
Das Modell	Das Modell (chanson)
Filipo Simeoni	Filippo Simeoni
T-28	T-28 (char)
Pamela Melroja	Pamela Melroy
Stefānija Belmondo	Stefania Belmondo
5. simfonija	Symphonie nº 5
Merida	Mérida
Jevdokija Lopuhina	Eudoxie Lopoukhine
Šostakoviča 5. simfonija	Symphonie nº 5 de Chostakovitch
Zalcburga (nozīmju atdalīšana)	Salzburg (homonymie)
50 kilometru soļošana	50 kilomètres marche
Kovdezers	Lac Kovdozero
5000 metri	5 000 mètres
500 visu laiku izcilākie albumi	Les 500 plus grands albums de tous les temps selon Rolling Stone
Antropais princips	Principe anthropique
Gorio tēvs	Le Père Goriot
Kaisa Mekereinena	Kaisa Mäkäräinen
Emilija Sīboma	Emily Seebohm
Sjū Bērda	Sue Bird
Oksana Domņina	Oksana Domnina
Marī Lora Brinē	Marie-Laure Brunet
Antoņina Krivošapka	Antonina Krivoshapka
Bekija Hemmona	Becky Hammon
Larisa Neilande	Larisa Savchenko-Neiland
Eiropas autoceļš E36	Route européenne 36
Katrīna Megana Makartūra	K. Megan McArthur
Kerlija Patersone	Carly Patterson
Šenona Volkere	Shannon Walker
Hetere Mitsa	Heather Mitts
Sīksamteņi	Coenonympha
Diāna Ruso	Deanna Russo
CHA	Cha
Daiena Taurazi	Diana Taurasi
Magdalēna Fošberga	Magdalena Forsberg
Trīnu Kivilāna	Triinu Kivilaan
Andrea del Kastaņo	Andrea del Castagno
Terēza Edvardsa	Teresa Edwards
Ana Junsone	Ana Johnsson
Tatjana Hifnere	Tatjana Hüfner
Tatjana Navka	Tatiana Navka
