אפריקע	Afrique
30	30
קענט	Kent
גרויסלאנדאן	Grand Londres
סיטי פון לאנדאן	Cité de Londres
9	9
7 (נומער)	7 (nombre)
8 (נומער)	8 (nombre)
זשאן אגוסט דאמיניק ענגרע	Jean-Auguste-Dominique Ingres
וואָך	Semaine
אייז	Glace
אזערע	Lac
קנאבל	Ail cultivé
אנטראפאלאגיע	Anthropologie
ים סוף	Mer Rouge
אוגערקע	Concombre
אולאן באטאר	Oulan-Bator
עדינבורג	Édimbourg
אשגאבאט	Achgabat
אקטאוו מירבא	Octave Mirbeau
אינזל	Île
ווייס	Blanc
שווארץ	Noir
מארסיי	Marseille
ציבל	Oignon
6 (נומער)	6 (nombre)
ארכעאלאגיע	Archéologie
טאמאטע	Tomate
דזשארזש ה. וו. בוש	George H. W. Bush
ריקי דזשארוועיס	Ricky Gervais
באלקאן לענדער	Balkans
סלאווישע שפראכן	Langues slaves
עקוואטאר	Équateur terrestre
סעלענא	Selena
מערידא, ווענעזועלע	Mérida (Venezuela)
אטלאנטא	Atlanta
בעניטא מוסאליני	Benito Mussolini
לאסט (טעלעוויזיע סעריע)	Lost : Les Disparus
17	17
ווערטערבוך	Dictionnaire
קאפ	Tête (anatomie)
װעלינגטאן	Wellington
גרויסבריטאניע	Grande-Bretagne
23	23
זשימי קארטער	Jimmy Carter
נאציאנאלער הימען	Hymne national
סיינפעלד (סעריע)	Seinfeld
לאס וועגאס	Las Vegas
26	26
פאלעסטינע	Palestine
10 (נומער)	10 (nombre)
אטאם נומער	Numéro atomique
אלפרעד נאבעל	Alfred Nobel
קערפער	Corps humain
24	24
29	29
לילך דאונס	Lila Downs
ים המלח	Mer Morte
25	25
31	31
28	28
ליווערפול	Liverpool
אלבאני	Albany (New York)
אוואטאר (פילם)	Avatar (film, 2009)
ווערב	Verbe
770	770
וואדי עלען	Woody Allen
טיטאניק	Titanic
ראמשטיין	Rammstein
סאווע	Strigiformes
פונט שטערלינג	Livre sterling
בענעטיץ	Benetice (Světlá nad Sázavou)
ווערטייברעיטס	Vertébrés
מעטעאראלאגיע	Météorologie
אזארן	Açores
פעלידאע	Felidae
אינטערנאציאנאלע קאסמאס סטאנציע	Station spatiale internationale
היספאניאלא	Hispaniola
דא נאנג	Đà Nẵng
פעטרישקע	Persil
אופסאלא	Uppsala
געטעבארג	Göteborg
וואג	Poids
קארניש	Cornique
טייטלבוים	Phoenix dactylifera
האמער	Marteau (outil)
ראטיבאר	Racibórz
פליג	Diptera
בליענדיקע פלאנצן	Magnoliophyta
ארקטיק	Arctique
מאלוסקן	Mollusca
Gaudi Antoni	Antoni Gaudí
מאכט	Puissance (physique)
טענענבוים	Sapin
דראמא	Drame (théâtre)
ליבעלעס	Odonata
פארשטעלונג	Pièce de théâtre
בורשטין	Ambre
נוארק	Newark (New Jersey)
וועסטעראס	Västerås
לינשעפינג	Linköping
וואלטאזש	Tension électrique
זאפראן	Safran (épice)
סארביש	Sorabe
מעלנליקע	Mölnlycke
ליכט-ארויסגעבנדיקער דיאד	Diode électroluminescente
נארשעפינג	Norrköping
ערעברו	Örebro
פראטאקאלן פון זקני-ציון	Les Protocoles des Sages de Sion
נאציאנאלע באן	National Rail
אוגרע	Anguille d'Europe
פאפראד	Poprad
נייטרא	Nitra
צאבעל	Zibeline
באאבדע	Baabda
רש"י	Rachi
סאטעליט	Satellite artificiel
כריין	Raifort
זאכלא	Zahlé
אילטיס	Mustela putorius
מארק ענטאני	Marc Anthony
פאלעסטין באפרייונג ארגאניזאציע	Organisation de libération de la Palestine
נעגעלע	Giroflier
אטעלא	Othello ou le Maure de Venise
טעילאר סוויפט	Taylor Swift
לאנדאנער בארא פון קרוידן	Borough londonien de Croydon
פראפיט	Bénéfice
אוורוטש	Ovroutch
מזרח אזיע	Asie de l'Est
צפון אפריקע	Afrique du Nord
צענטראל-אפריקע	Afrique centrale
דרום אייראפע	Europe du Sud
מזרח אייראפע	Europe de l'Est
מערב אייראפע	Europe de l'Ouest
צענטראל אייראפע	Europe centrale
צענטראל-אמעריקע	Amérique centrale
האטעל	Hôtel
מזרח פריזישע אינזלען	Îles de la Frise-Orientale
נירנבערג געזעצן	Lois de Nuremberg
געזאנג	Chant
אדאלף אייכמאן	Adolf Eichmann
צימערינג	Cannelle (écorce)
קאנקארד, ניו העמפשער	Concord (New Hampshire)
סעלערי	Céleri
ליסטע פון שטעט אין ישראל	Villes d'Israël
אספארגוס	Asperge
סצענאר שרייבער	Scénariste
גראד	Degré (angle)
האר	Poil
עסטרייך אונגארישע אימפעריע	Autriche-Hongrie
ספרינגפילד, אילינוי	Springfield (Illinois)
דזשיקאוו	Tarnobrzeg
אראמיש	Araméen
פאך	Profession
שניטקע	Sandwich
איסלאמישער קאלענדאר	Calendrier musulman
טענעריפע אוידיטאריע	Auditorium de Tenerife
סאשא בארון כהן	Sacha Baron Cohen
פוס מיליטער	Infanterie
F-35 לייטנינג II	Lockheed Martin F-35 Lightning II
מאנטגאמערי	Montgomery (Alabama)
באקא ראטאן	Boca Raton
רעפובליקאנער פארטיי	Parti républicain (États-Unis)
באק פולווער	Levure chimique
לאקימיע	Leucémie
אפגאט	Paganisme
דעמאקראטישע פארטיי	Parti démocrate (États-Unis)
בעאטריקס פון די נידערלאנדן	Beatrix (reine des Pays-Bas)
Wi-Fi	Wi-Fi
לופטל	Taraxacum
בירגערמייסטער	Maire
שניי לעמפערט	Once (félin)
שטייגעררעכט	Common law
שלעזיש	Silésien (langue slave)
פרעזידענט	Président
בלאג	Blog
אחז	Achaz
דזשיימסטאן, סאנט העלענע	Jamestown (Sainte-Hélène)
וואלטער קראנקייט	Walter Cronkite
קאלקולאטאר	Calculatrice
געשוויסטער	Fratrie
העלט קעיר	Soins de santé
פאפוגיי	Psittaciformes
קראקע	Cracovie
ניישטאט אן דער אײש	Neustadt an der Aisch
קאני 2012	Kony 2012
אנארכיע	Anarchie
אראבישער האלבאינדזל	Arabie
צוגאב	Addition
לעבנסשטייגער	Mode de vie
מערידיאן	Méridien
באקס	Boxe anglaise
דאמעלי	Dameli
א שפראך איז א דיאלעקט מיט אן ארמיי און א פלאט	Une langue est un dialecte avec une armée et une flotte
שאלקע 04	FC Schalke 04
לאנדאנער בארא פון מערטאן	Borough londonien de Merton
קעניגלעכע בארא פון קינגסטאן אויפן טעמז	Borough royal de Kingston upon Thames
לאנדאנער בארא פון ריטשמאנד אויפן טעמז	Borough londonien de Richmond upon Thames
דזשעניפער עניסטאן	Jennifer Aniston
לוזשיץ	Lusace
אייקאן	Akon
וואלערי לעאנטיעוו	Valery Leontiev
ISBN	International Standard Book Number
זיבן יעריגער קריג	Guerre de Sept Ans
אויסטרא-אזיאטישע שפראכן	Langues austroasiatiques
טאסמאן ים	Mer de Tasman
שווארצע טומאה	Bila Tserkva
אקצענט	Dialecte
לייב טראצקי	Léon Trotski
ליטל ראק	Little Rock
פאטענץ	Exponentiation
קארדעמאן	Cardamome
מוזיי	Musée
אלף בית	Alphabet hébreu
דאווער, דעלאווער	Dover (Delaware)
לודמיר	Volodymyr-Volynskyï
קישא	Kesha
קאנאדא	Kannada
קאשוביש	Cachoube
בליץ	Foudre
האנט	Main
דו פו	Du Fu
עדמונד הילארי	Edmund Hillary
נעפאליש	Népalais
באפעלקערונג	Population
ארכיפעלאג	Archipel
טעאדער רוזעוועלט	Theodore Roosevelt
טור דע פראנס	Tour de France
ענטעבע אפעראציע	Raid d'Entebbe
תל אביב-יפו	Tel Aviv-Jaffa
טשעכאסלאוואקיי	Tchécoslovaquie
ניס	Nice
בלאט	Feuille
וואלפאראיסא	Valparaiso
אקטיאר	Acteur
האליוואד	Hollywood
מארלאן בראנדא	Marlon Brando
גארטל ליניע (געאגראפיע)	Latitude
סעמיטישע שפראכן	Langues sémitiques
טאגאלאג	Tagalog
יצחק רבין	Yitzhak Rabin
אשכנזים	Ashkénaze
זשאסטין ביבער	Justin Bieber
בראנדז	Bronze
כאסני מובאראק	Hosni Moubarak
פארגא	Fargo (Dakota du Nord)
וואכאקא	État de Oaxaca
פוטער	Beurre
טעאלאגיע	Théologie
זעאוס	Zeus
יאסיר אראפאט	Yasser Arafat
מוסד (אגענטור)	Mossad
אקספארד	Oxford
ניאגארא פאלס	Chutes du Niagara
שטום לשון	Langue des signes
לינוס טארוואלדס	Linus Torvalds
לאנגווייליגקייט	Ennui
BSD	Berkeley Software Distribution
רוסלענדישע אימפעריע	Empire russe
אלעקסאנדער גרעהעם בעל	Alexander Graham Bell
וואודרא ווילסאן	Woodrow Wilson
דאקטאר הו	Doctor Who
אסטראלאגיע	Astrologie
טאסמאניע	Tasmanie
ראטערדאם	Rotterdam
שוואן	Cygne
גלויבן	Croyance
זייף	Savon
ניו ארלינס	La Nouvelle-Orléans
מאשאווצע	Mošovce
בענאזיר בוטא	Benazir Bhutto
שאקירא	Shakira
אוניווערסיטעט פון אקספארד	Université d'Oxford
טראקט	Route
מאכמוד אכמעדיניזשאד	Mahmoud Ahmadinejad
סידי	Disque compact
היראהיטא	Hirohito
העליקאפטער	Hélicoptère
אל קיידא	Al-Qaïda
ווידעא	Vidéo
אגאישער ים	Mer Égée
געבורט	Accouchement
פינגער	Doigt
אנאסטאסיע	Anastacia
פרת	Euphrate
זשיימס גארפילד	James Abram Garfield
קיאטא	Kyoto
עשרת הדיברות	Décalogue
שול	Synagogue
ענגלישער קאנאל	Manche (mer)
1980ער	Années 1980
יאהאנעסבורג	Johannesburg
1990ער	Années 1990
י. ק. ראלינג	J. K. Rowling
פערסישער איינגאס	Golfe Persique
רויז	Rosier
אדיעקטיוו	Adjectif
זאלצבורג	Salzbourg
גריכישע מיטאלאגיע	Mythologie grecque
קאמפאס	Boussole
מין (ביאלאגיע)	Genre (biologie)
סאציאל וויסנשאפט	Sciences humaines et sociales
האלבאינזל	Péninsule
רענטגען שטראלן	Rayon X
יוליסעס סימפסאן גרענט	Ulysses S. Grant
עליזעבעט טעילער	Elizabeth Taylor
פראווינץ	Province
בריזבן	Brisbane
וויטאמין	Vitamine
בענדזשאמין פרענקלין	Benjamin Franklin
אייזיק אזימאוו	Isaac Asimov
תורה	Torah
ים פון אזאוו	Mer d'Azov
1970ער	Années 1970
2000ער	Années 2000
וויליאם מעקינלי	William McKinley
קרויט	Chou cabus
ליסטע פון פרעזידענטן פון די פאראייניגטע שטאטן	Liste des présidents des États-Unis
רשימה:הויפטשטעט	Liste des capitales du monde
סלאגאן	Proverbe
וועבזייטל	Site web
אדיסעע	Odyssée
סטיווען גראווער קליוולאנד	Grover Cleveland
שפיגל	Miroir
הערבערט קלארק האווער	Herbert Hoover
מעטאפיזיק	Métaphysique
ווארען הארדינג	Warren Gamaliel Harding
אראבער	Arabes
ברעד פיט	Brad Pitt
שומער	Sumer
ים פון מארמארא	Mer de Marmara
פאנעטיק	Phonétique
פאמיליע (ביאלאגיע)	Famille (biologie)
זשערוסאלעם פאסט	The Jerusalem Post
פענסטער	Fenêtre
אלמאטיע	Almaty
טשעסטער עלען ארטור	Chester Alan Arthur
הייל	Grotte
לאס	Alces alces
ווייסע הויז	Maison-Blanche
פאליציי	Police (institution)
האקיידא	Hokkaidō
חידקל	Tigre (fleuve)
ארטור קאנאן דויל	Arthur Conan Doyle
אינגבער	Gingembre
וויליאם האווארד טעפט	William Howard Taft
שטאטן פון די פאראייניגטע שטאטן	États des États-Unis
גלעטשער	Glacier
פיטקארן	Îles Pitcairn
בענזשעמין העריסאן	Benjamin Harrison
ראטערפארד בי הייז	Rutherford Birchard Hayes
1930ער	Années 1930
1960ער	Années 1960
1920ער	Années 1920
פארלאמענט	Parlement
מאטריאל	Matière
סאפארי	Safari (logiciel)
על בייַדאַ	El Beïda (Libye)
ברוך שפינאזא	Baruch Spinoza
נאס	Éternuement
שלאף	Sommeil
אינפלאציע	Inflation
הומאר	Humour
E=mc²	E=mc2
אראל ים	Mer d'Aral
קארינטיאנס	Sport Club Corinthians Paulista
עסטעטיק	Esthétique
מייבאק	Maybach
מאזדא	Mazda (automobiles)
איזמיר	Izmir
זשאן קעלווין קולידזש	Calvin Coolidge
לעמבערג	Lviv
ווערבע	Saule
דורכגאס פון גיבראלטאר	Détroit de Gibraltar
באדן	Sol (pédologie)
פייג	Ficus carica
סכום (מאטעמאטיק)	Ensemble
שרייבער	Écrivain
לאדינא	Judéo-espagnol
סענדיי ערדציטערניש	Séisme de 2011 de la côte Pacifique du Tōhoku
פּארטא מאנט	Puerto Montt
פראנאם	Pronom
וואצלאוו האוועל	Václav Havel
וואקאל	Voyelle
לענג	Longueur
בריזשיט בארדא	Brigitte Bardot
ביאגראפיע	Biographie
זיידן גאס	Route de la soie
1950ער	Années 1950
חלום	Rêve
לאזשבאן	Lojban
אבערדין	Aberdeen
מעל	Farine
קאניונקציע	Conjonction de coordination
אויוון	Four
1940ער	Années 1940
1900ער	Années 1900
1910ער	Années 1910
דען האג	La Haye
טיכא בראהע	Tycho Brahe
זנות	Prostitution
וויזועלע קונסטן	Arts visuels
הענריק איבסן	Henrik Ibsen
זומער זייגער	Heure d'été
מערב ברעג	Cisjordanie
יוגאסלאוויע	Yougoslavie
קריסטאל נאכט	Nuit de Cristal
קאמפאזיטאר	Compositeur
ריהאנא	Rihanna
חזיר גריפע	Grippe porcine
נאגל (אנאטאמיע)	Ongle
12 (נומער)	12 (nombre)
וואלאפוק	Volapük
צרפתיש	Sarphatique
טאשירא מיפונע	Toshirō Mifune
געזיכט	Visage
רעקלאמע	Publicité
טאלאהאסי	Tallahassee
פאפ מוזיק	Pop (musique)
נאגל (בויען)	Clou
טאם קרוז	Tom Cruise
איילבירט	Olivier
שלמה המלך	Salomon (Bible)
יאהו	Yahoo!
30סטן פעברואר	30 février
שטריך	Droite (mathématiques)
פרעה	Pharaon
AK-47	AK-47
מאריופאל	Marioupol
11 (נומער)	11 (nombre)
13 (נומער)	13 (nombre)
גרופע 8	Groupe des sept (économie)
אטאמקערן	Noyau atomique
אוואקאדא	Avocatier
איי.בי.עם.	International Business Machines
דייוויד היום	David Hume
כוואליע	Onde
פיאדאר טיוטשעוו	Fiodor Tiouttchev
דיאמעטער	Diamètre
לערער	Instituteur
CIA	Central Intelligence Agency
שרייבן	Écriture
קליוולאנד	Cleveland
לובלין	Lublin
דזשאן מייקל טאלבאט	John Michael Talbot
קלאוס עבנער	Klaus Ebner
סטאשקע	Arachide
100 (נומער)	100 (nombre)
אפריקאס	Abricotier
זיכערהייטס ראט	Conseil de sécurité des Nations unies
יאנישער ים	Mer Ionienne
ברילן	Lunettes
פילעק	Polygone
וואלענטינע טאג	Saint-Valentin
דוד בן גוריון	David Ben Gourion
סכעלדע	Escaut
מארק	Marché
דעמאגראפיע	Démographie
יודישע אראביש	Judéo-arabe
כראמאזאם	Chromosome
געשמעלץ	Alliage
בעזאנסאן	Besançon
אהקלענד גראמאטישע שולע	Auckland Grammar School
פרידזשידער	Réfrigérateur
מילוואקי	Milwaukee
דורכגאס	Détroit
זיסע קארטאפל	Patate douce
קאנסאנאנט	Consonne
מאקדאנעלדס	McDonald's
לואיס קאראל	Lewis Carroll
ליאנארדא דיקאפריא	Leonardo DiCaprio
פעלקער-ליגע	Société des Nations
סאמוריי	Samouraï
בריטישע אינזלען	Îles Britanniques
יאקאהאמע	Yokohama
1840ער	Années 1840
הענרי דער אכטער פון ענגלאנד	Henri VIII
קאלאמביע, דרום קאראליינע	Columbia (Caroline du Sud)
מיליאן	Million
סאו פאולא פוטבאל גרופע	São Paulo Futebol Clube
14 (נומער)	14 (nombre)
